Unnamed: 0,index,plant,calendar_year,calendar_yeer_week,sloc,quantity,total_amount,product_id
0,0,1201,2022,20221231,3000,15,0,bf6f2240b38144d095fbaf7dcd250561XDG21
1,1,1201,2022,20221231,3000,10,0,b3dacdf30b204b72be4ab8341d9f4559XAM23
2,2,1201,2022,20221231,3000,15,0,e49ff33b828b4be082b83ae895d75f6dCAM21
3,3,1201,2022,20221231,3000,23,0,136313eab5fc40fda9c4eae6aa5c544eDOO21
4,4,1201,2022,20221231,3000,6,0,f4bec8d73fee41788217cffb216bf296XAM21
5,5,1201,2022,20221231,3000,2,-10200,c80c20e3b42444eb8623ac5f6af2e00eDEN28
6,6,1201,2022,20221231,3000,3,-357000,b6371659566042ae944b492151b6c116DEN29
7,7,1201,2022,20221231,3000,1,-183600,5a8c92a6aa9a4d4d816d070db6f92a0cDEN30
8,8,1201,2022,20221231,3000,1,-149600,077616013c984e79a4342cbdbf16b2bdDEN31
9,9,1201,2022,20221231,3000,2,0,fb9f5281deee47278e1333ee61bf81b3NAU28
10,10,1201,2022,20221231,3000,3,0,504477bf02be44efb4eb4947f9265bf0NAU29
11,11,1201,2022,20221231,3000,2,-312800,72b52e7aeedc48bea88b90b9854e8b74DEN28
12,12,1201,2022,20221231,3000,3,-156400,76184c1d82e14ff69cf528ab854d81faDEN29
13,13,1201,2022,20221231,3000,2,-156400,b02f66a5ce9f42a4a12e15f995a41512DEN30
14,14,1201,2022,20221231,3000,1,-156400,32c576f6de394e44a92842a1e09a33a1DEN33
15,15,1201,2022,20221231,3000,1,0,c3df09ff5082414ea57f16554a53dfa6DEN35
16,16,1201,2022,20221231,3000,1,0,609f4f6b4fb44a1ea9ce2580e4532ab0DEN36
17,17,1201,2022,20221231,3000,1,0,9f6a6f9f7da84f58bcbfdcabd6867323XDG28
18,18,1201,2022,20221231,3000,1,0,79db5930bec64553b299baa4d767e8ebXDG29
19,19,1201,2022,20221231,3000,1,0,8c114e41bf504f18b21ea8716213b09bXDG35
20,20,1201,2022,20221231,3000,3,153000,92f29e8d1927429a8fe86bd8b37de2d7DEN28
21,21,1201,2022,20221231,3000,2,-153000,ace5391ad61448b8867f6e4d50a22d12DEN29
22,22,1201,2022,20221231,3000,2,0,f1b5952f302a4587b252a5a66a7a6bd7DEN30
