month,week,site,branch_id,channel_id,distribution_channel,distribution_channel_code,sold_quantity,cost_price,net_price,customer_id,product_id
2022009,202236,1136,1100,CHTT,Bán lẻ,FP,3,136197,197000,bc07ddb8b,395b6e7264594816aba6cc8d1b16e3efXAM25
2022009,202235,1117,1100,CHTT,Bán lẻ,FP,1,146880,216000,ddb829703,4dada3c41ddc45e883fd682f5427dbddCAM37
2022009,202236,1100,1100,TGPP,Phát sinh,ZF2,3,400584,459492,bdba9c08b,d607786004034432b9c1bf1ebcc9bdf6DEN41
2022009,202236,1126,1100,CHTT,Bán lẻ,FP,1,201027,309000,4aa7f3162,5439375ee9414b31b3449a9ba586eadfXAM31
2022009,202235,1225,1200,CHTT,Bán lẻ,FP,1,497389,731000,21c6228c8,2b11553084a840ec902345db0621705cTRG42
2022009,202236,1605,1600,CHTT,Bán lẻ,FP,1,56749,83000,96ab10c27,546db1a0554f46a38c60912f920a7b90XNH40
2022009,202237,1110,1100,CHTT,Bán lẻ,FP,1,222725,343000,6e1a4fb79,8533993ed9c24a51b86af78cfbbee921XDG37
2022009,202236,1200,1200,TGPP,Phát sinh,ZF2,4,787812,903664,c33662cce,e1261316dd9b46a6983668aa5472b65cHOG29
2022009,202236,1234,1200,CHTT,Bán lẻ,FP,1,210306,309000,cce60dc55,ecc1f2eca73e4a0a9ca4bc35bd015117XAM37
2022009,202236,1800,1800,ONLINE,Online,ZF2,1,540118,754576,2424a3c55,53d468e756e3405daf4ac92dc8a04420XAM39
2022009,202238,1169,1100,CHTT,Bán lẻ,FP,2,138868,204000,af0c5a86c,90b7cb2574db4736b9f88602a8177d36XAM39
2022009,202235,1200,1200,TGPP,Phát sinh,ZF4,16,3097840,3325611,d448fba09,849b5aacb36241159cfff15b0451bfd3TIM34
2022009,202237,1610,1600,CHTT,Bán lẻ,FP,1,75443,111000,927fcb550,b0de753f6315403e9bd21fc81a26938bVAG37
2022009,202235,1124,1100,CHTT,Bán lẻ,FP,1,130189,191000,af943870d,932633ae85be4d47b704e5e757e8766aXAM39
2022009,202237,1532,1500,CHTT,Bán lẻ,FP,1,180262,265000,3ee8e1745,1e03387fe71e420daf609aedbfa9e9bbDEN38
2022009,202236,1100,1100,ST,Siêu thị,ZFK,1,120174,141382,0b54dc857,2ffaed6211344c5d8cf3a099649f787dDEN29
2022009,202236,1519,1500,CHTT,Bán lẻ,FP,1,45399,67000,839e7f8ea,f1cc5e4f7160454aa718723c227d2495XAM25
2022009,202238,1133,1100,CHTT,Bán lẻ,FP,1,223364,344000,1a3b356c3,d473e965871346c8a1d47a7032b18df6HOG27
2022009,202235,1124,1100,CHTT,Bán lẻ,FP,1,130189,191000,af943870d,9f9370ca22374ba185d2006f39a7b694XAM42
2022009,202236,1139,1100,CHTT,Bán lẻ,FP,1,310451,457000,7113070f4,58a6c31c83d247a687e548c7d841fd7dDEN39
2022009,202237,2001,2000,CHTT,Bán lẻ,FP,1,140204,245100,a4af54eee,d4d5e940d3a94c84a8371358d3dfe48bXMN39
2022009,202238,1173,1100,CHTT,Bán lẻ,FP,1,613558,902000,728ca2f1d,5973357d623a466f89f47c9bcd210008HOG38
2022009,202235,1123,1100,CHTT,Bán lẻ,FP,1,133528,196000,81c0c4b70,007ec0a5ba3843ddaaa840bbb1b7b090DEN38
2022009,202235,1101,1100,CHTT,Bán lẻ,FP,1,56749,83000,dd5a95cfa,50497e96b7224ed8a431bcd2fe67ad54XNH38
2022009,202235,1150,1100,CHTT,Bán lẻ,FP,1,440640,648000,3389917a2,44f598355eb3449ea68b877c1f465d87XDL38
2022009,202239,1151,1100,CHTT,Bán lẻ,FP,1,123513,182000,809d3959a,8ee36c980bc34653a6b5ae48b26b23b3XNH27
2022009,202238,1104,1100,CHTT,Bán lẻ,FP,1,307113,452000,421de55a1,61b31459d0144f66a0582d60f2b544e6DEN40
2022009,202236,1100,1100,TGPP,Hợp đồng,ZF1,2,1267174,1360348,8a492b032,c7961e79b0914e2ba9c5d7794028cb62DEN39
2022009,202236,1100,1100,TGPP,Phát sinh,ZF2,1,150218,174518,9142b8336,0ccea39be2404c26b5a40b99ce956b02DOO39
2022009,202235,1138,1100,CHTT,Bán lẻ,FP,1,686998,1010000,035bf6bb7,af7962ef17834ab1a34a7a93b94024f5DEN43
2022009,202235,1202,1200,CHTT,Bán lẻ,FP,1,322282,496000,d04882f44,eb0888e955a94369b824122a461d3e9fTRG29
2022009,202239,1510,1500,CHTT,Bán lẻ,FP,1,252367,371000,c4b296c29,3673f31c97f742c187b84439a63e1a8aDEN39
2022009,202236,1800,1800,ONLINE,Online,ZF2,1,466678,648545,02757bde1,cd7b7115138a4773bbed398fdb86b577XDG44
2022009,202238,1409,1400,CHTT,Bán lẻ,FP,1,126851,187000,7c8a0b91a,dfc6a4b098a14f0ea203aaba06e71b92CAM28
2022009,202236,1603,1600,CHTT,Bán lẻ,FP,1,163571,241000,d6533d315,e60f3d7416664f6e8e368e9334e3313fCAM26
2022009,202236,1800,1800,ONLINE,Online,FP,1,222725,343000,5143d0eee,3dcc51410ce04c79b8859bce555b2056XDG34
2022009,202237,1113,1100,CHTT,Bán lẻ,FP,1,370538,545000,a0c1d36b9,625c08bd51cd492a8c29815c4272ab36HOG30
2022009,202235,1200,1200,TGPP,Phát sinh,ZF2,3,1452108,1558881,168c09d6f,6cbc33335d3541c39994a838d3d5425fXAM39
2022009,202236,1804,1800,CHTT,Bán lẻ,FP,1,828998,1275000,5e814794b,b1b6a73b717b45d2a76bb424749c6cc4DEN36
2022009,202237,1610,1600,CHTT,Bán lẻ,FP,1,126851,174000,927fcb550,bd36854ba32f4e65ae673006c685bd74DEN42
2022009,202235,1520,1500,CHTT,Bán lẻ,FP,1,180262,265000,448d24e1c,8820f1cad4744d189d0f591da74a9170KEM35
2022009,202236,1127,1100,CHTT,Bán lẻ,FP,1,62758,92000,fd15d3401,9c20222491ab4b1a871329c87a1ad8aeXAM36
2022009,202235,1508,1500,CHTT,Bán lẻ,FP,1,263716,388000,167a78f6f,cb9a4b2292ae4c58a056807cccb2a7e5KEM37
2022009,202238,1200,1200,TGPP,Phát sinh,ZF2,6,1221774,1347547,97c4aa63f,d7fe8f15641142ba9c72341a28207f64HOG24
2022009,202238,1137,1100,CHTT,Bán lẻ,FP,1,233673,344000,12402aac9,237da374afe343eaa1f26ba060bd1207NAU39
2022009,202235,1505,1500,CHTT,Bán lẻ,FP,1,86792,128000,9654e071d,77aff71ecf3043028eed282d78cda9a1DEN35
