month,week,site,branch_id,channel_id,distribution_channel,distribution_channel_code,sold_quantity,cost_price,net_price,customer_id,product_id
2022010,202241,1259,1200,CHTT,Bán lẻ,FP,1,213644,314000,9a0343b4f,eaa3a08a2eb64587a2cec755125a5839DEN35
2022010,202240,1526,1500,CHTT,Bán lẻ,FP,2,1320584,1942000,358041268,ac1afcbd1a434253b9df679ad8118d38DEN41
2022010,202240,1139,1100,CHTT,Bán lẻ,FP,1,457331,673000,7113070f4,8ac75cfd1a254c7698a184b267e42e76XAM37
2022010,202240,1103,1100,CHTT,Bán lẻ,FP,1,566823,834000,8a6174afa,a060c283b33d4bebb6b001993651d400DEN36
2022010,202243,1206,1200,CHTT,Bán lẻ,FP,1,68099,100000,2f069943a,7090e180d18b454691c07d40db2b426bHOG32
2022010,202243,1526,1500,CHTT,Bán lẻ,FP,1,123513,182000,358041268,d69fb60842a64ce1b123f6b2986962bcXNH42
2022010,202241,1602,1600,CHTT,Bán lẻ,FP,1,56749,83000,9de04ba6f,da19c47116694a788241efa12a3cc976XNH35
2022010,202240,1121,1100,CHTT,Bán lẻ,FP,1,70769,104000,4aaf7ee35,4e9edf53cb984d0f94f8a0e1a3230fe4XAM39
2022010,202242,1237,1200,CHTT,Bán lẻ,FP,1,293760,432000,04f4a71cb,e2f2a108164c4322a6ce4eecb338ad8bXAM30
2022010,202243,1165,1100,CHTT,Bán lẻ,FP,1,526765,775000,8d8a4d58d,d58282aef80a4e41a02dbedcee3cd17bDEN42
2022010,202244,1248,1200,CHTT,Bán lẻ,FP,1,540785,795000,5898041ea,2c31820c1ef44d04bbfc48021136c227DEN43
2022010,202240,1800,1800,ONLINE,Online,FP,1,660292,861000,5143d0eee,67fe95ba97584ed4b9517d218c6037feDEN43
2022010,202244,1165,1100,CHTT,Bán lẻ,FP,1,367200,540000,8d8a4d58d,166e28ce07e04b478320bc009dddf5c4DOO37
2022010,202243,1130,1100,CHTT,Bán lẻ,FP,1,69434,102000,8e5c342e2,59620e23da064bbeafe41b4246470a4dHOL39
2022010,202241,1237,1200,CHTT,Bán lẻ,FP,1,326474,480000,04f4a71cb,a21d3839878f450bbf22283a6f5838f3XAM42
2022010,202240,1150,1100,CHTT,Bán lẻ,FP,1,386561,568000,3389917a2,b04af484c00a43e19a87711b1dc86edaXDG35
2022010,202239,1126,1100,CHTT,Bán lẻ,FP,1,203629,299000,4aa7f3162,45bce53f803d48d88770f7b0c128866eHOG33
2022010,202240,1258,1200,CHTT,Bán lẻ,FP,1,210305,309000,d61e36c2c,878cf8efcc2549a39a00f0951b2d066dHOG32
2022010,202239,1506,1500,CHTT,Bán lẻ,FP,1,130189,191000,0ce7c90d7,f3fa3d968764417a9c0d5a03afd4b971XNH37
2022010,202241,1237,1200,CHTT,Bán lẻ,FP,1,196953,290000,04f4a71cb,547e6bc85e174e5884a829b81ab5e360XMN33
2022010,202240,1422,1400,CHTT,Bán lẻ,FP,1,310451,457000,838c58db4,0943de0d840544438c0f3aaf91b66c58XDL34
2022010,202243,1101,1100,CHTT,Bán lẻ,FP,1,287084,422000,dd5a95cfa,f015798d93374689aeff226f0866788cDEN31
2022010,202243,1233,1200,CHTT,Bán lẻ,FP,1,290422,427000,323f83aac,eee23d7beda04d32aee06c323cb3e0efDEN38
2022010,202240,1509,1500,CHTT,Bán lẻ,FP,1,386561,568000,3f7aebc18,54cfe9740ebb4b63b27e72e4907bfa64HOG39
2022010,202240,1114,1100,CHTT,Bán lẻ,FP,1,34717,51000,2ac4efa41,f018c567582d447ba5d3798090210f5bHOG23
2022010,202242,1151,1100,CHTT,Bán lẻ,FP,1,235489,362000,809d3959a,58f1d0bf26cc4f5b8df79667345165c1VAG31
2022010,202240,1246,1200,CHTT,Bán lẻ,FP,1,524095,771000,c0e0dfd2a,f21b80f2c124413e8f7e69da6a02850fDEN41
2022010,202240,1211,1200,CHTT,Bán lẻ,FP,1,253702,373000,c888fa214,5b5e803f7dd34ae3ae98b8f1c6e15beaTRG34
2022010,202242,1200,1200,TGPP,Phát sinh,ZF2,1,457331,490958,7d2a82c60,c2599cd31d874445906ed019b1300a11DEN36
2022010,202241,1218,1200,CHTT,Bán lẻ,FP,1,546794,804000,306e0075c,86de27b932544816bdd801aa92f6c5d4DEN39
2022010,202240,1124,1100,CHTT,Bán lẻ,FP,1,126851,187000,af943870d,d6829cc68d124174be6eca74df7cc812DEN40
2022010,202241,1101,1100,CHTT,Bán sỉ,FP,1,183600,224100,f56cfa95a,d76377adb0f14c50ba860f1945a35139CAM29
2022010,202242,1510,1500,CHTT,Bán lẻ,FP,1,220320,324000,c4b296c29,764940bf349c485face2d29c0300a663XNH39
2022010,202240,1154,1100,CHTT,Bán lẻ,FP,1,86793,128000,d32e94fbf,647f73f4cc554311b297449c15ac0c29DEN31
2022010,202243,1800,1800,ONLINE,Online,ZF2,6,741078,1029876,02757bde1,8fbc42a6656a48d2aceffdd74a75a9f6CAM43
2022010,202241,1613,1600,CHTT,Bán lẻ,FP,2,90798,134000,8e833bd11,3be94d1a82af43fdbbfc788943ad22b2XAM25
2022010,202239,1115,1100,CHTT,Bán lẻ,FP,1,713703,1050000,0ad09228f,0d77223373be4b249dfb38da6e3c7a87KEL42
2022010,202242,1800,1800,ONLINE,Online,FP,1,566823,789000,5143d0eee,53197a545d2d460ebc0880e732a3aa0cXNH42
2022010,202242,1105,1100,CHTT,Bán lẻ,FP,1,130189,191000,3dd717588,52de17c640cc4085a863cf9d18ddeb6fNAU35
2022010,202242,1800,1800,ONLINE,Online,ZF2,1,513412,717267,2424a3c55,5d29da85799c4973abfe564b0a8cc844XDG45
2022010,202243,1126,1100,CHTT,Bán lẻ,FP,1,86793,128000,4aa7f3162,d03d21111ac54f6ba1906b6eaa10f4a3HOG29
2022010,202241,1100,1100,TGPP,Phát sinh,ZF2,1,133527,149237,2e1b039ee,75cd92a93fa0440badeb250bacabfdceXDG40
2022010,202240,1516,1500,CHTT,Bán lẻ,FP,1,216982,319000,47512db55,f0c2f5c3eead4c71ab7e30afba535980DEN39
2022010,202241,1140,1100,CHTT,Bán lẻ,FP,1,88128,130000,8e0081de1,5290dd1499b948ab952bd67a8b888508XNH43
2022010,202242,1504,1500,CHTT,Bán lẻ,FP,1,146880,151000,41fd17be1,341e5f8ab29c4789b76d4fd54f836348DOO30
2022010,202242,1800,1800,ONLINE,Online,ZF2,2,138868,199317,9847d4248,a5890612792d4bcd97b0ca2ef30bfa2cXDG38
2022010,202240,1173,1100,CHTT,Bán lẻ,FP,1,303775,447000,728ca2f1d,b9946185829e43b2aa69b7389e2b1874DEN39
2022010,202240,1100,1100,TGPP,Phát sinh,ZF2,1,123513,138043,964b3df83,4ac15deb5f9f46a092d457cdffccffdcCAM42
2022010,202241,1225,1200,CHTT,Bán lẻ,FP,1,660292,971000,21c6228c8,7ed53b0fc20643ad82b9421fe89b2177XNH43
2022010,202241,1100,1100,TGPP,Phát sinh,ZF2,3,630915,695864,2dd2e63e8,336c1f6c563347fdaa53119b30a381b3XDG30
2022010,202242,1125,1100,CHTT,Bán lẻ,FP,1,713703,1050000,d00a9c716,5aca0f2a5cf540668deca8327b73f5acDEN44
2022010,202241,1142,1100,CHTT,Bán lẻ,FP,1,297098,437000,84dc216d6,f4cfdfc7fd8e47e7a6cf5a5637177dcfKEM38
2022010,202240,1632,1600,CHTT,Bán lẻ,FP,1,60087,88000,2229073d6,a7c4fb0eb6274e768792a4a5a515ab76XDG42
2022010,202240,1617,1600,CHTT,Bán lẻ,FP,1,58084,85000,2218e8f3c,cb5c3110f9754be78f8f539b58a00462DEN40
