month,week,site,branch_id,channel_id,distribution_channel,distribution_channel_code,sold_quantity,cost_price,net_price,customer_id,product_id
2023002,202307,1100,1100,TGPP,Phát sinh,ZF2,1,122400,142200,267145c29,268380f69e4049d29349808a82833dd0XNH36
2023002,202305,1800,1800,ONLINE,Online,ZF2,1,726920,1003791,02757bde1,9d017e9e0c784df090b51903369b3233XAM44
2023002,202308,1125,1100,CHTT,Bán lẻ,FP,1,278800,410000,d00a9c716,05fc865cdf4f40f0a3fc4c1080e712a6DEN37
2023002,202307,1116,1100,CHTT,Bán lẻ,FP,1,835720,1229000,2384aef55,699d1f8a49f7440db76667087aebb488DEN38
2023002,202305,1507,1500,CHTT,Bán lẻ,FP,1,380120,559000,8e83175f9,a0571966beaf46ebb763cb2304b4b4d7DEN35
2023002,202307,1154,1100,CHTT,Bán lẻ,FP,1,268600,395000,d32e94fbf,653720f6b55c40359c4a5009b3f7a47aDEN35
2023002,202306,1162,1100,CHTT,Bán lẻ,FP,1,261800,385000,990bf2c4a,398f8f9a974d4b9a941cf76f4c26f85fDEN41
2023002,202306,1601,1600,CHTT,Bán lẻ,FP,1,533800,785000,3a2bd9fa3,7682c736b3d34c358222627aab3084dbDEN38
2023002,202305,1221,1200,CHTT,Bán lẻ,FP,1,46240,68000,50357918f,395b6e7264594816aba6cc8d1b16e3efXAM25
2023002,202307,1109,1100,CHTT,Bán lẻ,FP,1,180200,265000,f374cbb86,a56501ba8bad4d2c8cb5e7eeee2d46f7XNH40
2023002,202309,1120,1100,CHTT,Bán lẻ,FP,1,299200,440000,840519b59,573c804dda8a4abfa5d781f60bf5dddeTRG34
2023002,202309,1210,1200,CHTT,Bán lẻ,FP,1,38760,16000,b361b9eeb,22956a8881c84b549a455071a6a3b475XDG32
2023002,202307,1112,1100,CHTT,Bán lẻ,FP,1,295800,435000,d25dab86a,975597fb5b324692a664170d17037b00NAD41
2023002,202306,1213,1200,CHTT,Bán lẻ,FP,1,170000,250000,870bd12f5,1030b802b87e44db89efb3e64e5a9d52HOG32
2023002,202307,1159,1100,CHTT,Bán lẻ,FP,1,268600,395000,b3c876b42,19876ba6432f404da14ca7bfca5c3efaKEM38
2023002,202308,1160,1100,CHTT,Bán lẻ,FP,1,88400,130000,17274d296,181c2ef940c14099bc55110b367cae84HOG33
